org_id,sector,ai_present,adoption_level,ai_tools_count,manager_training,governance_present,hybrid_ratio_pct,productivity_change_pct,employee_trust_score,performance_outcome
ORG0001,Finance,0,None,0,0,0,44.715328071510385,3.55,3,0
ORG0002,Technology,0,None,0,0,0,31.48794564576229,3.66,3,0
ORG0003,Technology,0,None,0,0,0,27.95788421097572,1.59,2,0
ORG0004,Finance,1,Strategic,2,1,1,28.014053696446148,7.93,3,1
ORG0005,Technology,1,Strategic,1,1,1,25.996192248411326,6.89,4,1
ORG0006,Finance,1,Strategic,4,1,1,25.46660389588041,5.44,4,1
ORG0007,Services,1,Reactive,1,0,0,28.090418435603187,4.11,3,0
ORG0008,Technology,0,None,0,0,0,8.554397669558991,-0.85,3,0
ORG0009,Technology,0,None,0,0,0,50.46499283743927,2.36,2,0
ORG0010,Education,1,Reactive,3,0,0,30.361814362231783,-0.08,3,0
ORG0011,Manufacturing,1,Strategic,2,0,0,13.71874312112896,7.08,3,1
ORG0012,Technology,1,Strategic,6,1,0,35.285004965932245,7.74,3,1
ORG0013,Services,1,Reactive,2,0,0,0.0,2.69,3,0
ORG0014,Finance,0,None,0,0,0,30.66294715295087,0.93,1,0
ORG0015,Manufacturing,1,Transformative,3,0,1,35.9034531491154,13.93,3,1
ORG0016,Technology,1,Transformative,7,1,1,39.523210135004184,8.01,4,1
ORG0017,Technology,1,Strategic,3,0,0,21.208636486492953,8.1,2,0
ORG0018,Services,0,None,0,0,0,30.169077256914868,2.13,2,0
ORG0019,Education,1,Strategic,9,1,0,38.39432404248312,6.69,3,1
ORG0020,Manufacturing,1,Reactive,3,1,0,16.747176614611416,3.64,4,0
ORG0021,Technology,1,Reactive,4,0,1,31.03014750143066,7.44,4,1
ORG0022,Finance,1,Strategic,3,1,1,22.142636653755762,4.75,4,1
ORG0023,Services,0,None,0,0,0,28.21306651482996,2.05,4,0
ORG0024,Finance,1,Strategic,4,0,1,29.867874310919284,7.11,4,1
ORG0025,Manufacturing,1,Strategic,11,1,0,23.407621781936424,4.53,2,0
ORG0026,Healthcare,1,Reactive,0,0,0,36.22811209079484,1.06,4,0
ORG0027,Technology,1,Strategic,1,1,1,70.83553936088694,8.69,5,1
ORG0028,Services,1,Reactive,1,1,0,47.431489664073126,3.01,3,0
ORG0029,Finance,1,Reactive,2,0,0,66.8323429551895,4.06,2,0
